category,location,path,file_name,required,exists,size_mb
best_model,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/best_model/config.json,config.json,True,True,0.0007
best_model,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/best_model/model.safetensors,model.safetensors,True,True,255.425
best_model,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/best_model/tokenizer_config.json,tokenizer_config.json,True,True,0.0003
tokenizer,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/tokenizer/tokenizer_config.json,tokenizer_config.json,True,True,0.0003
tokenizer_content,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/best_model/tokenizer.json,tokenizer.json,False,True,0.6787
tokenizer_content,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/best_model/vocab.txt,vocab.txt,False,False,0.0
tokenizer_content,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/tokenizer/tokenizer.json,tokenizer.json,False,True,0.6787
tokenizer_content,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/models/distilbert/tokenizer/vocab.txt,vocab.txt,False,False,0.0
table,repo,/content/PromptInjectionDetectionSystem/results/tables/distilbert/distilbert_model_configuration_summary.csv,distilbert_model_configuration_summary.csv,True,True,0.0005
table,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/results/tables/distilbert/distilbert_model_configuration_summary.csv,distilbert_model_configuration_summary.csv,True,True,0.0005
table,repo,/content/PromptInjectionDetectionSystem/results/tables/distilbert/distilbert_dataset_object_summary.csv,distilbert_dataset_object_summary.csv,True,True,0.0002
table,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/results/tables/distilbert/distilbert_dataset_object_summary.csv,distilbert_dataset_object_summary.csv,True,True,0.0002
table,repo,/content/PromptInjectionDetectionSystem/results/tables/distilbert/distilbert_metrics_function_summary.csv,distilbert_metrics_function_summary.csv,True,True,0.0002
table,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/results/tables/distilbert/distilbert_metrics_function_summary.csv,distilbert_metrics_function_summary.csv,True,True,0.0002
table,repo,/content/PromptInjectionDetectionSystem/results/tables/distilbert/distilbert_training_arguments_summary.csv,distilbert_training_arguments_summary.csv,True,True,0.0005
table,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/results/tables/distilbert/distilbert_training_arguments_summary.csv,distilbert_training_arguments_summary.csv,True,True,0.0005
table,repo,/content/PromptInjectionDetectionSystem/results/tables/distilbert/distilbert_trainer_summary.csv,distilbert_trainer_summary.csv,True,True,0.0002
table,drive,/content/drive/MyDrive/USW_Dissertation/Prompt-Injection-Detection-System-SHAP/results/tables/distilbert/distilbert_trainer_summary.csv,distilbert_trainer_summary.csv,True,True,0.0002
